model,best_cv_acc,accuracy,precision,recall,f1,best_params
Ridge,0.6375,0.6555555555555556,0.6537708230249052,0.6555555555555554,0.6509448348216464,OrderedDict({'clf__alpha': 237.89603259971724})
SVM,0.6388888888888888,0.65,0.6563518170426066,0.6499999999999999,0.647944339025933,"OrderedDict({'clf__C': 25.351918429872093, 'clf__gamma': 0.000135512767954976, 'clf__kernel': 'rbf'})"
XGBoost,0.6291666666666667,0.6333333333333333,0.6288891666875015,0.6333333333333333,0.6291773973640358,"OrderedDict({'colsample_bytree': 0.6598038165316674, 'gamma': 1.513567610991637, 'learning_rate': 0.026097694268751116, 'max_depth': 15, 'min_child_weight': 2, 'n_estimators': 1198, 'reg_alpha': 0.15145407339890563, 'reg_lambda': 0.0017855197559990476, 'subsample': 0.7274373084678256})"
RandomForest,0.6222222222222222,0.6333333333333333,0.6282754679886139,0.6333333333333333,0.6286951198261415,"OrderedDict({'max_depth': 21, 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 11, 'n_estimators': 1764})"
KNN,0.5847222222222221,0.6111111111111112,0.6094219717064544,0.6111111111111112,0.6015992432404851,"OrderedDict({'clf__n_neighbors': 24, 'clf__p': 1, 'clf__weights': 'distance'})"
Linear Regression,,0.4111111111111111,0.4497477505048467,0.4111111111111111,0.38607484392106695,{'postprocess': 'round+clip'}
