,Model,Accuracy,Precision,Recall,F1
0,SVR,0.6753246753246753,0.7054702872884691,0.6753246753246753,0.6572833455852323
1,XGBoost,0.6753246753246753,0.6701994434137291,0.6753246753246753,0.6506182711405235
2,Random Forest,0.6623376623376623,0.7639431938037352,0.6623376623376623,0.6277222777222777
3,Ridge,0.6493506493506493,0.685862444151214,0.6493506493506493,0.6327913669756067
4,kNN,0.6493506493506493,0.5202764976958526,0.6493506493506493,0.5757645411708162
5,Linear Regression,0.6493506493506493,0.7406279357498871,0.6493506493506493,0.6816412572934313
