Model,Accuracy,Precision,Recall,F1
Ridge,0.6428571428571429,0.6529085842062942,0.6428571428571429,0.5796719514251982
SVR,0.6493506493506493,0.672872581963491,0.6493506493506493,0.5691613067924912
XGBoost,0.6428571428571429,0.6003833316810415,0.6428571428571429,0.567704554495752
Random Forest,0.6688311688311688,0.4895076146874707,0.6688311688311688,0.5647055296456537
Linear Regression,0.5584415584415584,0.5596730855351545,0.5584415584415584,0.5566523260021712
k-Nearest Neighbors,0.6168831168831169,0.6677975646775223,0.6168831168831169,0.5515821239959171
