Model,Accuracy,Precision,Recall,F1
k-Nearest Neighbors,0.7337662337662337,0.719598583234947,0.7337662337662337,0.7224658458424692
SVR,0.7077922077922078,0.7201193185382908,0.7077922077922078,0.7113697757021327
XGBoost,0.7142857142857143,0.7048415611303809,0.7142857142857143,0.7080262461767614
Ridge,0.7142857142857143,0.7023809523809524,0.7142857142857143,0.7049188906331764
Random Forest,0.7077922077922078,0.7055353113705517,0.7077922077922078,0.7037386855568674
Linear Regression,0.45454545454545453,0.5893749147480489,0.45454545454545453,0.49807936833366495
